date, class, action, title
2019-09-29 08:12:09.198231, PR6039.O32 L67, CHECK OUT, The Fellowship of the Ring
2019-09-30 14:27:11.638765, PR6039.O32 L67, CHECK IN, The Fellowship of the Ring
2019-10-01 11:11:11.111111, PR6039.O32 H63, CHECK OUT, The Hobbit
2019-10-01 16:33:06.182766,  PR6039.O32 L69, CHECK OUT, The Return of the King
2019-10-04 07:51:06.935654, PR6039.O32 L69, CHECK IN, The Return of the King
2019-10-04 15:25:39.441543,PR6039.O32 L68, CHECK OUT, The Two Towers
2019-10-04 15:26:13.970958,PR6039.O32 L68, CHECK OUT, The Two Towers
2019-10-04 15:28:04.598251,PR6039.O32 L68, CHECK OUT, The Two Towers
2019-10-04 15:29:03.133195,PR6039.O32 L68, CHECK OUT, The Two Towers
2019-10-04 15:29:55.510961,PR6039.O32 L68, CHECK OUT, The Two Towers
2019-10-04 15:30:33.722892,PR6039.O32 L68, CHECK OUT, The Two Towers
2019-10-04 15:31:55.151895,PR6039.O32 L68, CHECK OUT, The Two Towers
2019-10-04 15:32:30.716903,PR6039.O32 L68, CHECK OUT, The Two Towers
2019-10-04 15:33:07.221536,PR6039.O32 L68, CHECK OUT, The Two Towers
2019-10-04 15:33:55.927856,PR6039.O32 L68, CHECK OUT, The Two Towers
2019-10-04 15:41:51.396105,PR6039.O32 L68, CHECK OUT, The Two Towers
2019-10-04 15:45:27.626743,PR6039.O32 L68, CHECK OUT, The Two Towers
2019-10-04 15:47:06.273177,PR6039.O32 L68, CHECK OUT, The Two Towers
2019-10-04 15:47:58.393675,PR6039.O32 L68, CHECK OUT, The Two Towers
